"","text","date","time","textfre","score","result","name"
"1","trump deserves a a real good asswhuppin this election he isnt fit to exist in the office of the presid ",2020-09-17,"23:56:08"," deserves real good asswhuppin election isnt fit exist office presid ",3,"postive","trump"
"2","i pray people planning to vote for trump open their eyes see him for what he really is and decide to do otherwise ",2020-09-17,"23:54:24"," pray people planning vote open eyes see really decide otherwise ",2,"postive","trump"
"3","new trump campaign sloganrevenge little big horn make custer great again ",2020-09-17,"23:52:23","new campaign sloganrevenge little big horn make custer great ",2,"postive","trump"
"4","if trump mitch and lindsey all lose i swear ill end up having convulsing multiple orgasms ",2020-09-17,"23:44:13"," mitch lindsey lose swear ill end convulsing multiple orgasms ",-2,"negative","trump"
"5","your thoughts should president trump sign an executive order for nationwide mandatory voter ids ",2020-09-17,"23:43:13"," thoughts president sign executive order nationwide mandatory voter ids ",1,"postive","trump"
"6","donald trump held secret calls with christian nationalist churches that supported him to help them exploit the ppp ",2020-09-17,"23:38:37"," held secret calls christian nationalist churches supported help exploit ppp ",0,"neutral","trump"
"7","donald trump says results of election will never be accurately determined ",2020-09-17,"23:36:02"," says results election will never accurately determined ",-1,"negative","trump"
"8","time to get plugged in to your local gop headquarters and get the vote out for trumppence and deliver a house and ",2020-09-17,"23:24:49","time get plugged local gop headquarters get vote trumppence deliver house ",0,"neutral","trump"
"9"," barack obama made a speech to nato in warsaw in which he compared trump to putin cameron who was lis ",2020-09-17,"23:19:29"," barack obama made speech nato warsaw compared putin cameron lis ",0,"neutral","trump"
"10","trump downplays legacy of slavery in appeal to white voters ",2020-09-17,"23:18:12"," downplays legacy slavery appeal white voters ",2,"postive","trump"
"11","wesleyan media project trump shifts focus from crime to jobs biden highlights covid vi ",2020-09-17,"23:15:01","wesleyan media project shifts focus crime jobs highlights covid vi ",0,"neutral","trump"
"12"," right now our country is like a wet paper bag bursting with groceries trump is carrying it from ",2020-09-17,"23:13:07"," right now country like wet paper bag bursting groceries carrying ",2,"postive","trump"
"13","todays weighted supreme court rulings will likely boost biden against trump in this key ",2020-09-17,"23:08:18","todays weighted supreme court rulings will likely boost key ",2,"postive","trump"
"14","be prepared for barr and other trump cronies to spew major lies about investigations before remember ",2020-09-17,"23:08:16"," prepared barr cronies spew major lies investigations remember ",0,"neutral","trump"
"15","facebook is removing conservative ads cause politifact a left leaning organization says that trump ads are false ",2020-09-17,"23:08:01","facebook removing conservative ads cause politifact left leaning organization says ads false ",-1,"negative","trump"
"16","before you vote in this presidential election think long and hard do you hate trump more than you love your ",2020-09-17,"23:04:13"," vote presidential election think long hard hate love ",-2,"negative","trump"
"17","explain why biden has dropped in the last week with the news about trump concealing what he knew id have expecte ",2020-09-17,"22:59:33","explain dropped last week news concealing knew id expecte ",0,"neutral","trump"
"18","expence aide throws support behind biden citing trumps virus response ",2020-09-17,"22:59:20","expence aide throws support behind citing virus response ",0,"neutral","trump"
"19","massive crowd of supporters gather several hours before president trumps rally in mosinee wisconsin video ",2020-09-17,"22:56:17","massive crowd supporters gather several hours president rally mosinee wisconsin video ",2,"postive","trump"
"20","trumps is inciting his white supremacy thugs to intimidate voters especially people of color at the electio ",2020-09-17,"22:54:16"," inciting white supremacy thugs intimidate voters especially people color electio ",-1,"negative","trump"
"21","everyone needs to go out and vote in november it dosent matter if youre voting for trump biden or a third party ",2020-09-17,"22:53:16","everyone needs go vote november dosent matter youre voting third party ",1,"postive","trump"
"22","president trump signs an executive order to establish a national commission to promote patriotic education ",2020-09-17,"22:52:00","president signs executive order establish national commission promote patriotic education ",3,"postive","trump"
"23","based on objective data measuring performance against bipartisan objectives trump is a failed president ",2020-09-17,"22:50:21","based objective data measuring performance bipartisan objectives failed president ",2,"postive","trump"
"24","expence adviser says trump bungled virus shes for biden ",2020-09-17,"22:49:51","expence adviser says bungled virus shes ",0,"neutral","trump"
"25","william barr trumps seemingly personal attorney is a nauseating wackjob ",2020-09-17,"22:48:00","william barr seemingly personal attorney nauseating wackjob ",-1,"negative","trump"
"26","potus trumps tireless work ethic delivering on the america first policy vision promises made promises kept econo ",2020-09-17,"22:44:38","potus tireless work ethic delivering america first policy vision promises made promises kept econo ",4,"postive","trump"
"27","to stand with patriotism is to stand with president trump and to stand with president trump is to stand with patri ",2020-09-17,"22:43:32"," stand patriotism stand president stand president stand patri ",3,"postive","trump"
"28","fellow trump supporters lets not vote for trump lets trust that hell win anyway folks ",2020-09-17,"22:28:09","fellow supporters lets vote lets trust hell win anyway folks ",-1,"negative","trump"
"29","trump and de joy need to be in prison we know they are as crooked as they come ",2020-09-17,"22:27:25"," de joy need prison know crooked come ",-1,"negative","trump"
"30"," why does trump think he can beat biden when he lost to clinton by over million votes and nobody li ",2020-09-17,"22:25:18"," think can beat lost clinton million votes nobody li ",-1,"negative","trump"
"31","why are the majority of the extrump administration people voting for the presidents opponent because they know t ",2020-09-17,"22:18:07"," majority extrump administration people voting presidents opponent know t ",0,"neutral","trump"
"32","a great and in depth comment on how to really change your grandparents mind re voting for trump ",2020-09-17,"22:17:32"," great depth comment really change grandparents mind re voting ",1,"postive","trump"
"33"," miniseries continues at pm weve got a lot to talk about this week including trumps disaste ",2020-09-17,"22:12:55"," miniseries continues pm weve got lot talk week including disaste ",2,"postive","trump"
"34","its funny how people will tell you not to vote for trump because hes racist but then tell you to vote for biden e ",2020-09-17,"22:11:04"," funny people will tell vote hes racist tell vote e ",-1,"negative","trump"
"35","i honestly think is insanely depressed as if trump flicks lit matches at him while hes eating also ",2020-09-17,"22:08:27"," honestly think insanely depressed flicks lit matches hes eating also ",-2,"negative","trump"
"36","once again trump protects his friend putin in denying intelligence reports of russian election meddling what must ",2020-09-17,"22:07:30"," protects friend putin denying intelligence reports russian election meddling must ",2,"postive","trump"
"37","donald trump accused of sexual assault by model at us open tennis in ",2020-09-17,"22:07:13"," accused sexual assault model us open tennis ",-1,"negative","trump"
"38","proof intentionally killing americans trump amp stopped million face masks from be ",2020-09-17,"22:04:39","proof intentionally killing americans amp stopped million face masks ",-2,"negative","trump"
"39","im really worried that the leftwe etc are so busy being outraged about what trump amp co do every day out i ",2020-09-17,"21:57:46","im really worried leftwe etc busy outraged amp co every day ",-2,"negative","trump"
"40","trump is setting a trap dont take the bait voting twice is fraud its a felony under federal amp state law if yo ",2020-09-17,"21:49:18"," setting trap dont take bait voting twice fraud felony federal amp state law yo ",-4,"negative","trump"
"41","more revelations regarding the serial groperinchief but trumps powerful lawyers attempt a coverup as usual ",2020-09-17,"21:40:14"," revelations regarding serial groperinchief powerful lawyers attempt coverup usual ",3,"postive","trump"
"42","expence aide olivia troye says she will vote for biden after trumps handling of coronavirus the washington post ",2020-09-17,"21:38:47","expence aide olivia troye says will vote handling coronavirus washington post ",0,"neutral","trump"
"43","trump will flip too many blue states for them to steal it but he needs to keep a check on the mailin voting amp bal ",2020-09-17,"21:33:51"," will flip many blue states steal needs keep check mailin voting amp bal ",-1,"negative","trump"
"44","ifwhen president trump wins reelection he needs to fire that same day agree w all stated belo ",2020-09-17,"21:30:20","ifwhen president wins reelection needs fire day agree w stated belo ",2,"postive","trump"
"45","trump is now routinely denying the obvious wishing for a president who didnt constantly l ",2020-09-17,"21:30:16"," now routinely denying obvious wishing president didnt constantly l ",2,"postive","trump"
"46"," trump administration scrapped plan to send every american a mask in april email shows ",2020-09-17,"21:25:11"," administration scrapped plan send every american mask april email shows ",0,"neutral","trump"
"47","hitler youth trumps father was factually in the kkk ",2020-09-17,"21:22:47","hitler youth father factually kkk ",1,"postive","trump"
"48","average of the polls latest numbers in the trumpbiden election as of wednesday the real clear politics ave ",2020-09-17,"21:20:28","average polls latest numbers trumpbiden election wednesday real clear politics ave ",3,"postive","trump"
"49","david cameron says donald trump drives me mad ",2020-09-17,"21:15:19","david cameron says drives mad ",-1,"negative","trump"
"50"," trump considers his supporters disgusting people i guess stern knows him well ",2020-09-17,"21:11:02"," considers supporters disgusting people guess stern knows well ",0,"neutral","trump"
"51"," subscribe and support right side broadcasting because corrupt media dont cover trumps s ",2020-09-18,"23:58:56"," subscribe support right side broadcasting corrupt media dont cover s ",1,"postive","trump"
"52","when is it not too soon for trump to nominate ted cruz for the supreme court ",2020-09-18,"23:57:00"," soon nominate ted cruz supreme court ",0,"neutral","trump"
"53","it is irresponsible to freak people out this year with claims such as trump wont accept the election results becau ",2020-09-18,"23:53:44"," irresponsible freak people year claims wont accept election results becau ",1,"postive","trump"
"54","president donald trump on friday attacked his fbi director christopher wray for highlighting the threat posed by ",2020-09-18,"23:53:22","president friday attacked fbi director christopher wray highlighting threat posed ",-1,"negative","trump"
"55","in minnesota trump rhetorically asks whats so bad about getting on well with putin after boasting that nobody ",2020-09-18,"23:53:22"," minnesota rhetorically asks whats bad getting well putin boasting nobody ",0,"neutral","trump"
"56","what was always going to be the dirtiest election in us history just got dirtier do you really expect trump to b ",2020-09-18,"23:51:03"," always going dirtiest election us history just got dirtier really expect b ",-1,"negative","trump"
"57","trump is in need of a cheerleader in the white house with bleached teeth and long weave if you reside in baltimore ",2020-09-18,"23:48:03"," need cheerleader white house bleached teeth long weave reside baltimore ",1,"postive","trump"
"58","really hoping that turns out for along with donald trump no one has done more damage to o ",2020-09-18,"23:47:25","really hoping turns along one done damage o ",-1,"negative","trump"
"59","biden will use trump installing another associate justice to gin up the dem base ",2020-09-18,"23:46:38"," will use installing another associate justice gin dem base ",2,"postive","trump"
"60"," supreme court justice ruth bader ginsburg has died just one for trump ",2020-09-18,"23:46:32"," supreme court justice ruth bader ginsburg died just one ",2,"postive","trump"
"61","if p trump is smart about the sad passing of rbg he could win this election a supreme court fight will take the f ",2020-09-18,"23:44:39"," p smart sad passing rbg win election supreme court fight will take f ",1,"postive","trump"
"62","battle on the iron range donald trump joe biden duel in via ",2020-09-18,"23:43:22","battle iron range duel via ",0,"neutral","trump"
"63","its obvious twitter labels trump tweet about mailin voting for being potentially misleading ",2020-09-18,"23:43:17"," obvious twitter labels tweet mailin voting potentially misleading ",0,"neutral","trump"
"64"," presidential election news update trump calls mailin voting a scam says democrats are setting up election ",2020-09-18,"23:37:02"," presidential election news update calls mailin voting scam says democrats setting election ",-2,"negative","trump"
"65"," new podcast war room sept friday president trump launches commission to fight democratic co ",2020-09-18,"23:36:33"," new podcast war room sept friday president launches commission fight democratic co ",0,"neutral","trump"
"66","trumps new plan since he cant seem to steal the election is to buy it ",2020-09-18,"23:34:51"," new plan since cant seem steal election buy ",0,"neutral","trump"
"67","biden in duluth trump in bemidji two very different approaches ",2020-09-18,"23:31:31"," duluth bemidji two different approaches ",-2,"negative","trump"
"68"," dan coats trumps former intel chief calls for congressional commission to oversee the election ",2020-09-18,"23:30:00"," dan coats former intel chief calls congressional commission oversee election ",-1,"negative","trump"
"69","trump just landed in minnesota and launches straight into a xenophobic antiimmigrant rant elections can always b ",2020-09-18,"23:29:36"," just landed minnesota launches straight xenophobic antiimmigrant rant elections can always b ",1,"postive","trump"
"70","more on trump officials posting policy on cdc website without cdc consent plus trump rambling on at a rally about ",2020-09-18,"23:24:25"," officials posting policy cdc website without cdc consent plus rambling rally ",1,"postive","trump"
"71"," warning retweeted by trump can get you banned from twitter ",2020-09-18,"23:22:19"," warning retweeted can get banned twitter ",-2,"negative","trump"
"72","biden aced the town hall why didnt trump taking questions from voters is a basic skill for politicians the pr ",2020-09-18,"23:22:06"," aced town hall didnt taking questions voters basic skill politicians pr ",1,"postive","trump"
"73","during a pandemic trump is holding big rallies with zero social distancing he is killing his own base for a photo ",2020-09-18,"23:21:12"," pandemic holding big rallies zero social distancing killing base photo ",-1,"negative","trump"
"74","even trumps announcement today of billion for puerto rico to help rebuild from hurricane maria which hit the ",2020-09-18,"23:19:16","even announcement today billion puerto rico help rebuild hurricane maria hit ",-1,"negative","trump"
"75","more like canada wish the border to stay close until the dismemberment of the trump administration ",2020-09-18,"23:15:56"," like canada wish border stay close dismemberment administration ",2,"postive","trump"
"76","if trump told his loyal base to jump off a cliff a number greater than would do it ",2020-09-18,"23:15:34"," told loyal base jump cliff number greater ",3,"postive","trump"
"77","trump vs biden live updates the new york times ",2020-09-18,"23:12:44"," vs live updates new york times ",1,"postive","trump"
"78","poll added in necd gsg to biden trump new necd average ",2020-09-18,"23:12:22","poll added necd gsg new necd average ",1,"postive","trump"
"79","poll added in mecd siena to biden trump new mecd average ",2020-09-18,"23:07:29","poll added mecd siena new mecd average ",1,"postive","trump"
"80","my updated electoral map trump ",2020-09-18,"23:07:03"," updated electoral map ",0,"neutral","trump"
"81","who created this monster was hitler as bad as trump was mussolini as bad as him ",2020-09-18,"23:04:45"," created monster hitler bad mussolini bad ",-3,"negative","trump"
"82","poll added in nc siena wp to biden trump jorgensen hawkins new nc ",2020-09-18,"23:01:51","poll added nc siena wp jorgensen hawkins new nc ",1,"postive","trump"
"83"," is trump on the ropes word is he is depressed and sick and tired of being pres he has lost interes ",2020-09-18,"23:00:24"," ropes word depressed sick tired pres lost interes ",-3,"negative","trump"
"84","president ripped for trying to buy votes like a mob boss with his trump cards scheme raw story ",2020-09-18,"23:00:15","president ripped trying buy votes like mob boss cards scheme raw story ",-1,"negative","trump"
"85","poll added in meall siena wp to biden trump jorgensen hawkins ne ",2020-09-18,"22:58:01","poll added meall siena wp jorgensen hawkins ne ",0,"neutral","trump"
"86","the trade war that trump began has no end plan he doesnt care how many farmers are hurt ",2020-09-18,"22:54:27"," trade war began end plan doesnt care many farmers hurt ",0,"neutral","trump"
"87","hard to imagine its necessary to convince anyone who calls themselves a or a democrat opposes trump a ",2020-09-18,"22:54:24","hard imagine necessary convince anyone calls democrat opposes ",-1,"negative","trump"
"88"," i wonder what patriot education is trumps version o ",2020-09-18,"22:53:03"," wonder patriot education version o ",2,"postive","trump"
"89","media blames for s awful support this may prove trump is going to landslide ",2020-09-18,"22:53:03","media blames s awful support may prove going landslide ",-1,"negative","trump"
"90","poll added in wi morning consult to biden trump new wi a ",2020-09-18,"22:52:24","poll added wi morning consult new wi ",1,"postive","trump"
"91","poll added in wi civiqs to biden trump new wi average biden ",2020-09-18,"22:49:54","poll added wi civiqs new wi average ",1,"postive","trump"
"92","what the trump and biden town halls taught us about their upcoming debates ",2020-09-18,"22:49:13"," town halls taught us upcoming debates ",1,"postive","trump"
"93","trump administration knew everything broadly the russians are doing to change voter registration and counting votes ",2020-09-18,"22:48:40"," administration knew everything broadly russians change voter registration counting votes ",2,"postive","trump"
"94","one tactic that trump is gonna pull after losing is to say you let me off scot free from all my crim ",2020-09-18,"22:48:39","one tactic gonna pull losing say let scot free crim ",1,"postive","trump"
"95","agreement collapsed because insisted makers pay for trump cards to be mailed to s ",2020-09-18,"22:45:14","agreement collapsed insisted makers pay cards mailed s ",0,"neutral","trump"
"96"," fec should investigate trump donations by usps heads family and associates watchdog says ",2020-09-18,"22:43:05"," fec investigate donations usps heads family associates watchdog says ",1,"postive","trump"
"97"," another scandal trump could be accused of abuse of power as a deal on drug prices was undone by whit ",2020-09-18,"22:42:35"," another scandal accused abuse power deal drug prices undone whit ",-4,"negative","trump"
"98","biden vs trump tipping point change biden by in pa biden by in pa more info from ",2020-09-18,"22:41:15"," vs tipping point change pa pa info ",1,"postive","trump"
"99","trump is setting a trap dont take the bait voting twice is fraud its a felony under federal amp state law if yo ",2020-09-18,"22:39:17"," setting trap dont take bait voting twice fraud felony federal amp state law yo ",-4,"negative","trump"
"100"," republicans as well as democrats have been voting by mail for years suddenly trump is calling it a scam what a dumbass",2020-09-18,"22:39:03"," republicans well democrats voting mail years suddenly calling scam dumbass",-1,"negative","trump"
"101"," trump according to olivier troye calls his supporters disgusting people i wonder how many of ",2020-09-18,"22:38:20"," according olivier troye calls supporters disgusting people wonder many ",0,"neutral","trump"
"102","if the news reports jesus returns supports trump cnn would start building a cross ",2020-09-18,"22:37:37"," news reports jesus returns supports cnn start building cross ",2,"postive","trump"
"103","a deal on drug prices undone by white house insistence on trump cards chief of staff mark meadows insisted the ",2020-09-18,"22:37:10"," deal drug prices undone white house insistence cards chief staff mark meadows insisted ",0,"neutral","trump"
"104"," trump suggests hed consider removing fbi director over unfavorable testimony ",2020-09-18,"22:37:04"," suggests hed consider removing fbi director unfavorable testimony ",0,"neutral","trump"
"105","trump lied about vaccine timeline ",2020-09-18,"22:30:35"," lied vaccine timeline ",0,"neutral","trump"
"106","so is trump gonna really run on the swine flu was handled way worse than the coronavirus i mean is he even trying anymore ",2020-09-18,"22:28:52"," gonna really run swine flu handled way worse coronavirus mean even trying anymore ",-4,"negative","trump"
"107","poll added in pa civiqs to biden trump new pa average biden ",2020-09-18,"22:26:38","poll added pa civiqs new pa average ",1,"postive","trump"
"108","poll added in oh civiqs to biden trump new oh average trump ",2020-09-18,"22:24:26","poll added oh civiqs new oh average ",1,"postive","trump"
