"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#BidenHarris2020 Transition is moving on, great Agency Review Teams already appointed by @JoeBiden¡¯s President Elec¡­ https://t.co/rWpvFOFalk",FALSE,34,NA,2020-11-10 23:59:59,TRUE,NA,"1326313688505126915",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lecumberry",11,FALSE,FALSE,NA,NA
"2","I guess his #BidenHarris2020 vote didn't get him a ""blacks don't kick my ass"" hall pass.

Fucking moron.

https://t.co/dIzZVqxfSG",FALSE,1,NA,2020-11-10 23:59:59,FALSE,NA,"1326313688073121793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TCrusader2020",0,FALSE,FALSE,NA,NA
"3","WAKE UP. Your life will NOT return to normal under #JoeBiden. #BidenHarris2020 is using you. Listen around for who¡­ https://t.co/XhD0tcQBok",FALSE,0,NA,2020-11-10 23:59:55,TRUE,NA,"1326313669857308672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","erXindrawn",0,FALSE,FALSE,NA,NA
"4","@marklevinshow neither did trump, Pfizer was not part of his warp speed fiasco, why? because they didn't want boot¡­ https://t.co/ytEK1t8T7v",FALSE,0,"marklevinshow",2020-11-10 23:59:49,TRUE,"1325850068860231680","1326313645211447296","38495835","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChasMichealmic1",0,FALSE,FALSE,NA,NA
"5","@ABCWorldNews America¡¯s back and will be better than ever before <U+0001F1FA><U+0001F1F8><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F> #BidenHarris2020",FALSE,0,"ABCWorldNews",2020-11-10 23:59:48,FALSE,"1326311741626716160","1326313642573312000","86141342","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blessmyheart3",0,FALSE,FALSE,NA,NA
"6","Don't let the door hit your ass on the way out!
https://t.co/eGyNaT2TJe
What a #FakePresident.¡­ https://t.co/nBH3sfWhQP",FALSE,0,NA,2020-11-10 23:59:47,TRUE,NA,"1326313637003321346",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mr_Generic",0,FALSE,FALSE,NA,NA
"7","This is the BEST thing I¡¯ve EVER seen. Truly! #ByeDon2020 #BidenHarris2020 

@FallonTonight:¡­ https://t.co/TNkLAop85q",FALSE,0,NA,2020-11-10 23:59:36,TRUE,NA,"1326313592120090631",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmalineb94",0,FALSE,FALSE,NA,NA
"8","@realDonaldTrump @seanhannity @FoxNews You won¡¯t win this on Twitter.    Go to court with your fake allegations.   #BidenHarris2020",FALSE,0,"realDonaldTrump",2020-11-10 23:59:34,FALSE,"1326304091035881472","1326313581764366336","25073877","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RPMLuisD",0,FALSE,FALSE,NA,NA
"9","finally someone with a pair - they're starting to open their eyes it seems. #BidenTransition #BidenHarris2020 https://t.co/S6wMvZFASI",FALSE,0,NA,2020-11-10 23:59:30,FALSE,NA,"1326313564714520577",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KhalipsoTx",0,FALSE,FALSE,NA,NA
"10","@viewsfordays @bubbaprog @pattymo So, are we done now?! #BidenHarris2020",FALSE,0,"viewsfordays",2020-11-10 23:59:12,FALSE,"1326303507998072832","1326313489376423936","22658326","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","trichner",0,FALSE,FALSE,NA,NA
"11","@WCBD @LindseyGrahamSC Guess that whole widespread election fraud conspiracy thing is falling apart. Time to tell¡­ https://t.co/4un35UlOrp",FALSE,0,"WCBD",2020-11-10 23:59:11,TRUE,"1324797728652754945","1326313488063586304","15357193","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ILLINIFAN627",0,FALSE,FALSE,NA,NA
"12","My cat likes <U+2066>@JoeBiden<U+2069> too! #BidenHarris2020 https://t.co/SfA7U4EN2z",FALSE,0,NA,2020-11-10 23:59:01,FALSE,NA,"1326313446124609536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sydmikery",0,FALSE,FALSE,NA,NA
"13","Alright stan twitter, let's get to work. Show these lawyers, you don't mess with Pennsylvania:
#VoterSuppression¡­ https://t.co/7QoLfJgUhF",FALSE,0,NA,2020-11-10 23:58:57,TRUE,NA,"1326313426977746944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a_reincarnated",0,FALSE,FALSE,NA,NA
