"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","&lt;~<U+0001F334>of<U+0001F338>#WomenForTrump:<U+0001F1FA><U+0001F1F8>#Ivoted4FOURmoreYEARSforPresidentTRUMP<U+2757><U+FE0F><U+0001F1FA><U+0001F1F8><U+0001F985>.@POTUS<U+0001F1FA><U+0001F1F8>.@realDonaldTrump<U+0001F3AF>¡­ https://t.co/QwjcedrP6M",FALSE,1,NA,2020-10-16 23:59:23,TRUE,NA,"1317253839188238336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsAnomalyLOVE",1,FALSE,FALSE,NA,NA
"2","@realDonaldTrump - No wonder Joe's Rallies are always so quite: #Michigan #MIsen #MIpolitics Choose #LawAndOrder¡­ https://t.co/br3goosUOE",FALSE,1,"realDonaldTrump",2020-10-16 23:58:34,TRUE,NA,"1317253634552483842","25073877","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Subliminal73",0,FALSE,FALSE,NA,NA
"3","@JessicaTarlov @FoxNews You are so annoying! I wish Fox didn¡¯t have you on .. your annoying voice and comments! Go¡­ https://t.co/Bt1B2GkVSY",FALSE,2,"JessicaTarlov",2020-10-16 23:58:08,TRUE,"1317235429725396992","1317253526876246017","3056746427","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricaLApple",0,FALSE,FALSE,NA,NA
"4","The #WorkingClassVotesRed while the radical leftwing liberals sit on their ass! #VoteOutBenSasse #BenSasseIsAnAss¡­ https://t.co/eznce8SJXY",FALSE,0,NA,2020-10-16 23:57:43,TRUE,NA,"1317253418839384069",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FloGrownPatriot",0,FALSE,FALSE,NA,NA
"5","@seanhannity so stuff it @NBCNews &amp; @SavannahGuthrie ... @GOPChairwoman #MAGA2020 #TrumpPence2020  <U+2764><U+FE0F><U+0001F1FA><U+0001F1F8><U+0001F478><U+0001F3FC><U+0001F48B> https://t.co/jtEtYZak7L",FALSE,0,"seanhannity",2020-10-16 23:57:17,FALSE,NA,"1317253310093553665","41634520","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","islandbacio",0,FALSE,FALSE,NA,NA
"6","Earlier tonight @VP @Mike_Pence headed to @RDUAirport for departure after a surprise visit to @NCGOP on Hillsboroug¡­ https://t.co/hQTwVDwkQp",FALSE,3,NA,2020-10-16 23:56:12,TRUE,NA,"1317253037518393345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dthomasbrasil",0,FALSE,FALSE,NA,NA
"7","Just remember 1 thing on voting day #November3rd! They WORK FOR US &amp; answer to us! #MAGA #Trump2020 #VoteRed #KAGA¡­ https://t.co/IoezLXWRzE",FALSE,0,NA,2020-10-16 23:56:11,TRUE,NA,"1317253036222390274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Itooktheredpil5",1,FALSE,FALSE,NA,NA
"8","#1248 reason I love our President <U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8>  #TrumpPence2020 https://t.co/axP58o93xN",FALSE,0,NA,2020-10-16 23:56:07,FALSE,NA,"1317253016374870021",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CandaceCan88",0,FALSE,FALSE,NA,NA
"9","@BillOReilly @NoSpinNews I will vote for TRUMP!!! #TrumpPence2020 <U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8><U+0001F1FA><U+0001F1F8>",FALSE,2,"BillOReilly",2020-10-16 23:56:06,FALSE,"1317252735775825921","1317253013527011328","23970102","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ginam47326442",0,FALSE,FALSE,NA,NA
"10","Live your own life.  Stop worrying bout what others do.  #IceCube has the right to do what he wants just like the r¡­ https://t.co/VhK1KCJsv6",FALSE,1,NA,2020-10-16 23:55:07,TRUE,NA,"1317252766415392770",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","V_A_Z_2020",0,FALSE,FALSE,NA,NA
"11","No way I #BlameTrump I listened to joe Biden speak, and he makes me afraid of the future but yet when I listen to¡­ https://t.co/cw3Gf0pShP",FALSE,4,NA,2020-10-16 23:54:21,TRUE,NA,"1317252571237679104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Law5212",2,FALSE,FALSE,NA,NA
"12","OOOOOHHHHH SHIT!<U+0001F923><U+0001F923><U+0001F923> get your popcorn, folks!
#TrumpPence2020 https://t.co/QLvHhcT8Gx",FALSE,0,NA,2020-10-16 23:53:40,FALSE,NA,"1317252403192762368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FedDeplorable",0,FALSE,FALSE,NA,NA
"13","Of course...the #FakeNews and the #Democrats are trying to perpetuate the Greatest Sham ever on the #AmericanPeople¡­ https://t.co/4ccgtfIARG",FALSE,0,NA,2020-10-16 23:53:10,TRUE,NA,"1317252275736317952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","designgirle",1,FALSE,FALSE,NA,NA
"14","So with America censoring everything, WHAT HAPPENED TO OUR FIRST AMENDMENT? Our freedom of speech. Go ahead and cen¡­ https://t.co/YvnHEfTDjb",FALSE,0,NA,2020-10-16 23:52:58,TRUE,NA,"1317252225865977856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dark_Angel_Fey",0,FALSE,FALSE,NA,NA
"15","#Trump2020
#TrumpPence2020
#Trump2020Landslide 
Dear Lord,
Please be with our President Donald J. Trump [¡­ https://t.co/gJsZ0czcET",FALSE,3,NA,2020-10-16 23:52:46,TRUE,NA,"1317252176339701760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GhanshamManwani",2,FALSE,FALSE,NA,NA
"16","@Mike_A26 Right Is Right!
<U+0001F1FA><U+0001F1F8><U+2764><U+FE0F><U+0001F1FA><U+0001F1F8><U+0001F90D><U+0001F1FA><U+0001F1F8><U+0001F499><U+0001F1FA><U+0001F1F8>
#KAG
#Trump2020
#Trump2020Landslide 
#TrumpPence2020",FALSE,2,"Mike_A26",2020-10-16 23:51:44,FALSE,"1317250908527407104","1317251916825612289","864063540","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ullolayoga",1,FALSE,FALSE,NA,NA
"17","#PA8 #FlipthehouseRed #FirePelosi  Vote for @Bognet4congress  and lets get the US House working for all of us here¡­ https://t.co/nXLe8LVbhD",FALSE,0,NA,2020-10-16 23:51:23,TRUE,NA,"1317251826840993797",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheRealGilClark",0,FALSE,FALSE,NA,NA
"18","If #WallStreet is massively pumping money into #CorruptJoeBiden then you know he¡¯s not in the best interest of the¡­ https://t.co/mxtd9ba87z",FALSE,0,NA,2020-10-16 23:49:23,TRUE,NA,"1317251323373506561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mr_Abundance",1,FALSE,FALSE,NA,NA
"19","Watch @TeamTrump's broadcast: LIVE: President Donald Trump in Macon, GA #Georgia  Text VOTE to 88022.¡­ https://t.co/W78togwJIM",FALSE,0,NA,2020-10-16 23:48:52,TRUE,NA,"1317251195132469248",NA,"<a href=""https://periscope.tv"" rel=""nofollow"">Periscope</a>","alabaster_imgs",0,FALSE,FALSE,NA,NA
"20","@DrBiden That¡¯s right... vote #TrumpPence2020",FALSE,0,"DrBiden",2020-10-16 23:48:44,FALSE,"1317163975218548737","1317251161712373762","821784477076750338","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Boblloy65981766",0,FALSE,FALSE,NA,NA
"21","@KamalaHarris As Americans, we have President Trump as a great leader! #TrumpPence2020",FALSE,48,"KamalaHarris",2020-10-16 23:48:38,FALSE,"1317250658689556482","1317251136257204224","30354991","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheNickDeRose",2,FALSE,FALSE,NA,NA
"22","@TrumpStudents They may need to start handing out gift cards to get people to show up....this is embarrassing @DNC¡­ https://t.co/RAbFrY1fKw",FALSE,1,"TrumpStudents",2020-10-16 23:47:46,TRUE,"1317247706201542663","1317250918304239616","3981225735","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tim_sabol",0,FALSE,FALSE,NA,NA
"23","Text messages show raw and intimate exchange between Joe and Hunter Biden https://t.co/rz7U9K5DOI via @nypost¡­ https://t.co/xHGPewAPEr",FALSE,0,NA,2020-10-16 23:47:09,TRUE,NA,"1317250761596661760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","james12222544",0,FALSE,FALSE,NA,NA
"24","@7mdk7 @mari197337 Biden and the rest of his gang need to be ""locked up"" #TrumpNowMoreThanEver #TrumpPence2020",FALSE,1,"7mdk7",2020-10-16 23:46:52,FALSE,"1317211256860934151","1317250689282789377","3526395106","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RandiSilva01",0,FALSE,FALSE,NA,NA
"25","<U+0001F534> Watch LIVE: President Trump Holds Make America Great Again Rally in Ma... https://t.co/IWMakp7N9N via @YouTube¡­ https://t.co/J8iUy0Qcib",FALSE,0,NA,2020-10-16 23:46:39,TRUE,NA,"1317250637361377280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","teagiver7",1,FALSE,FALSE,NA,NA
"26","$10 bucks says Hunter gets suicided in the next week to garner sympathy for @JoeBiden 
#CorruptJoeBiden #TrumpPence2020",FALSE,0,NA,2020-10-16 23:46:39,FALSE,NA,"1317250635486662656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","QuietCurrents",0,FALSE,FALSE,NA,NA
"27","@RepMattGaetz Awesome job tonight in Ocala, FL!! <U+0001F44F><U+0001F1FA><U+0001F1F2> Don't listen to the left or the haters, my own Mother has addr¡­ https://t.co/Tzbm0FriEO",FALSE,0,"RepMattGaetz",2020-10-16 23:46:31,TRUE,NA,"1317250603328950272","818948638890217473","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sonya_4Trump",0,FALSE,FALSE,NA,NA
"28","@EricTrump No businesses were looted or burned.  #TrumpPence2020",FALSE,0,"EricTrump",2020-10-16 23:46:09,FALSE,"1317185666569166863","1317250510144065536","39349894","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JDBetsFL",0,FALSE,FALSE,NA,NA
"29","@PeteButtigieg I can for 8 years we had a terrorist as President and Vice President! - Don't let the #BidenCrimeFamily win!

#TrumpPence2020",FALSE,0,"PeteButtigieg",2020-10-16 23:45:11,FALSE,"1316908042160656385","1317250265565843457","226222147","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ParlerJCC000",0,FALSE,FALSE,NA,NA
"30","@springsteen ..have a good trip..#MAGA2020 #TrumpPence2020 <U+2764><U+FE0F><U+0001F1FA><U+0001F1F8><U+0001F478><U+0001F3FC><U+0001F48B> https://t.co/XbIenKh5tO",FALSE,0,"springsteen",2020-10-16 23:44:21,FALSE,NA,"1317250058383863808","43383705","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","islandbacio",0,FALSE,FALSE,NA,NA
"31","What the heck is going on in USA, INC?

#CENSORSHIP Is The Voice Of #FEAR

https://t.co/XEJmjS42Tk

#DEMS #REP #DEM¡­ https://t.co/xVcksM3DZE",FALSE,2,NA,2020-10-16 23:44:21,TRUE,NA,"1317250055661826050",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MarketSwingPlay",0,FALSE,FALSE,NA,NA
"32","Let's go! Get the word out. #BidenCorruption #MAGA #TrumpPence2020 https://t.co/zQ1VIUbnkI",FALSE,2,NA,2020-10-16 23:43:55,FALSE,NA,"1317249946370723841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sidneymaurice25",0,FALSE,FALSE,NA,NA
"33","Where are all the big campaign rallies held by Joe Biden since he¡¯s supposedly so popular, should be no problem get¡­ https://t.co/jsYWN7399Y",FALSE,0,NA,2020-10-16 23:43:40,TRUE,NA,"1317249885704474627",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shalaface",1,FALSE,FALSE,NA,NA
